"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","notes2","text_kind"
"0e","6c29","","// init NAME_BUCK, $01
⋯巴克‧不能‧
笑⋯⋯
巴克⋯⋯想⋯⋯
笑⋯⋯","// init NAME_BUCK, $01
ＢＵＣＫ ＣＡＮＮＯＴ ＬＡＵＧＨ．．．
ＢＵＣＫ ＷＡＮＴＳ ＴＯ ＬＡＵＧＨ．．．","// init NAME_BUCK, $01
ＢＵＣＫ ＮＥ ＰＥＵＴ ＰＡＳ ＲＩＲＥ．．．
ＢＵＣＫ ＶＥＵＴ ＲＩＲＥ．．．","// init NAME_BUCK, $01
ＢＵＣＫ ＴＡＫ ＢＩＳＡ ＫＥＴＡＷＡ．．．
ＢＵＣＫ ＩＮＧＩＮ ＫＥＴＡＷＡ．．．","","","repoint_target"
"0e","6c51","","// init NAME_1E, $27
慢⋯慢⋯慢⋯
慢著著著著!!
我還有最後的終
極祕密武器!
就是這個按鈕!","// init NAME_1E, $27
H.. HOLD IT!
I still have one last trick up my sleeve!
Remember this remote?","// init NAME_1E, $27
Un... UN INSTANT!
Il nous reste une dernière chose!
Vous vous souvenez de ce bouton?","// init NAME_1E, $27
T... TUNGGU!
Aku punya satu siasat lagi!
Ingat remot ini?","","","repoint_target"
"0e","6c92","","// init NAME_1F, $28
在下真是佩服拉
琪的智慧。
只要輕輕這麼一
按~
一按峨!","// init NAME_1F, $28
Laki, you genius!
Just one little press, and...!","// init NAME_1F, $28
Laki, tu es géniale!
Une petite pression, et...!","// init NAME_1F, $28
Laqi, kamu genius!
Hanya ditekan saja, dan...!","""thankful for laki's ingenuity"" might need rewording","","repoint_target"
"0e","6cc8","","// init NAME_1E, $27
沒‧有‧錯!
峨~呵呵呵呵~
就會『磅』的一
下唷!
不管如何，
你們還是準備
三千萬吧!","// init NAME_1E, $27
That's right!
Your precious power plant goes boom!
You'd better hand over that 30 million anyway!","// init NAME_1E, $27
Eh oui!
Votre précieuse centrale va se transformer en feu d'artifice!
Donc vous feriez mieux de quand même nous filer les 30 millions!","// init NAME_1E, $27
Benar!
Pembangkit listrik kebanggaanmu itu didor!
Lebih baik kalian serahkan 30 juta itu saja!","","","repoint_target"
"0e","6d1a","","// init NAME_BLANK, $19
雷歐博士終於打
敗了閃電隊!
我們之前都錯怪
他了。","// init NAME_BLANK, $19
Dr Leo finally defeated the Volts!
We shouldn't have doubted him.","// init NAME_BLANK, $19
Le Dr. Léo a enfin vaincu les Volt!
On n'aurait pas dû douter de lui.","// init NAME_BLANK, $19
Dr. Leo akhirnya mengalahkan Tim Volt!
Kita selayaknya tidak mempertanyakan beliau.","","","repoint_target"
"0e","6d47","","// init NAME_BLANK, $17
這裡是全世界最
大的製作高速賽
車的城市。","// init NAME_BLANK, $17
This city has the largest racing car manufacturing line in the world.","// init NAME_BLANK, $17
Cette ville a la plus grande chaîne de production de voitures de course du monde.","// init NAME_BLANK, $17
Kota ini memiliki pabrik mobil balap terbesar di dunia.","from 0e5666","","repoint_target"
"0e","6d70","","// init NAME_BLANK, $1f
很久很久之前，
雷歐的曾祖父和
其他七名科學家
曾經拯救過地球
。
所以城裡的人都
尊敬他。","// init NAME_BLANK, $1f
A long time ago, Leo's great-
grandfather and seven other scientists saved the Earth, so everyone in this city respects him.","// init NAME_BLANK, $1f
Il y a longtemps, l'arrière grand-père de Léo et 7 autres scientifiques ont sauvé le monde, alors tout le monde ici le respecte.","// init NAME_BLANK, $1f
Dahulu kala, kakek buyut Dr. Leo dan tujuh ilmuwan lainnya menyelamatkan Bumi, jadi semua orang di kota ini menghormatinya.","from 0e576d","","repoint_target"
"0e","6dc7","","// init NAME_BLANK, $12
雷歐博士果然是
世界第一的機械
發明家。","// init NAME_BLANK, $12
Dr Leo is certainly the best inventor in the world.","// init NAME_BLANK, $12
Y'a pas de doute, le Dr. Léo est le meilleur inventeur du monde.","// init NAME_BLANK, $12
Dr. Leo tentunya adalah penemu terhebat di dunia.","","","repoint_target"
"0e","6dec","","// init NAME_BLANK, $13
槽糕⋯
我的水藍鑽石項
鍊，
藏到哪裡去了?","// init NAME_BLANK, $13
Darn it... Where did my diamond necklace go?","// init NAME_BLANK, $13
Flûte de zut... Où est passé mon collier en diamants?","// init NAME_BLANK, $13
Sialan... kemana kalung berlianku?","this is the mom who didn't hide the machine earlier","","repoint_target"
"0e","6e16","","// init NAME_1D, $1a
荳荳這台光速美
少女初號機，
找到一個藍色石
頭。
光速美少女初號
機~~
使用價值945
6億的粉碎鑽頭
粉碎藍色石頭!","// init NAME_1D, $1a
Dot's lightspeed machine found a diamond, and it used its drill (worth ¥9456 billion) to crush it to pieces!","// init NAME_1D, $1a
Ma voiture a trouvé un diamant, et a utilisé sa foreuse (à 9456 millions de ¥) pour le réduire en poudre!","// init NAME_1D, $1a
Mesin supercepat Dot menemukan berlian, dan menggunakan bornya (senilai ¥9456 miliar) untuk menghancurkannya berkeping-keping!","this is the same kid who had the machine earlier","","repoint_target"
"0e","6e80","","// init NAME_BLANK, $13
慢⋯慢‧著!
哇!!!!!","// init NAME_BLANK, $13
W... Wait, what?! 
Aaah!","// init NAME_BLANK, $13
Que... Qu-QUOI?!
AAAH!","// init NAME_BLANK, $13
A... APA?! 
AAAAHH!","","","repoint_target"
